Source,Target,Column,Column2,generated
J. Pinckney Henderson,R. A. Irion,,,490
J. Pinckney Hendereon,Lord Palmerston,,,491
Lord Palmerston,J. Pinckney Henderson,,,492
J. Pinckney Henderson,Lord Palmerston,,,493
J. Pinckney Henderson,Lord Palmerston,,,494
Lord Palmerston,J. Pinckney Henderson,,,495
J. Pinckney Henderson,Lord Palmerston,,,496
Lord Palmerston,J. Pinckney Henderson,,,497
R. A. Irion,J. Pinckney Henderson,,,498
R. A. Irion,J. Pinckney Henderson,,,499
R. A. Irion,J. Pinckney Henderson,,,500
Jamee Hamilton,H. S. Fox,,,501
H. S. Fox,James Hamilton,,,502
David G. Burnet,J. Pinckney Henderson,,,503
David G. Burnet,Jamee Hamilton,1839 873 ,,504
J. Pinckney Henderson,Secretary of State [Burnet],,,505
J. Pinckney Henderson,Secretary of State [Burnet],,,506
J. Pinckney Henderson,Secretary of State [Biumet],,,507
James Hamilton,David G. Burnet,,,508
R. Pakenham,James Hamilton,,,509
Jamee Hamilton,R. Pakenham,,,510
Jamee HamUton,R. Pakenham,,,511
James Buchanan,E. W. Moore,,,512
E. W. Moore,James Buchanan,,,513
James Hamilton,Abner S. Lipecomb,,,514
Jamee Hamilton,Lord Palmerston,,,515
James Treat,Mirabeau B. Lamar,,,516
James Treat,Abner S. Lipscomb,,,517
R. Pakenham,James Treat,,,518
James Treat,Ri. Pakenham,,,519
Abner S. Lipecomb,R. Pakenham,,,520
John Taylor,Mirabeau B. Lamar,,,521
List of negro subjects of Great Britain alleged,be held in slavery in Texas,,,522
James Hamilton,Abner S. Lipecomb,,,523
Mirabeau B. Lamar,Lord Russell,,,524
Joseph Waples,Wm. Barron,,,525
James Hamilton,Abner S. Lipecomb,,,526
Geo. S. Mcintosh,Mirabeau B. Lamar,,,527
James Hamilton,Abner S. Lipscomb,,,528
James Hamilton,Lord Palmerston,,,529
Abner S. Lipecomb,Wm. Barron,,,530
James Hamilton,Mirabeau B. Lamar,,,531
James Hamilton,Monroe Edwards,,,532
Lord Palmerston,James Hamilton,,,533
James Hamilton,Abner S. Lipscomb,,,534
James Hamilton,Abner S. Lipscomb,,,535
Hamilton and Burnley,James H. Starr,,,536
James Hamilton,Abner S. Lipscomb,,,537
James Hamilton,Lord Palmerston,,,538
Lord Palmerston,James Hamilton,,,539
James Hamilton,Mirabeau B. Lamar,,,540
Lord Palmerston,James Hamilton,,,541
James S. Mayfield,James Hamilton,,,542
James S. Mayfield,James Hamilton,,,543
A. T. Biimley,David G. Burnet,,,544
Arthur Ikin,James S. Mayfield,,,545
James Hamilton,James S. Mayfield,,,546
Samuel A. Roberts,James Hamilton,,,547
John Crawford,Mirabeau B. Lamar,,,548
Lord Palmerston,Mirabeau B. Lamar,,,549
James Hamilton,Samuel A. Roberts,,,550
Anson Jones,James Hamilton,,,551
James Hamilton,Anson Jones,,,552
James Hamilton,Anson Jones,,,553
James Hamilton,Nathaniel Amory,,,554
James Hamilton,Anson Jones,,,555
James Hamilton,Anson Jones,,,556
Anson Jones,Ashbel Smith,,,557
Arthur Ikin,Anson Jones,,,558
Anson Jones,Ashbel Smith,,,559
Geo. Fisher,Anson Jones,,,560
Ashbel Smith,Anson Jones,,,561
Ashbel Smith,Anson Jones,,,562
Ashbel Smith,Anson Jones,,,563
Anson Jones,Ashbel Smith,,,564
Ashbel Smith,Anson Jones,,,565
Ashbel Smith,Anson Jones,,,566
Lord Aberdeen,Secretary of State of Texas [Jones],,,567
Ashbel Smith,Anson Jones,,,568
Ashbel Smith,Anson Jones,,,569
Ashbel Smith,Lord Aberdeen,,,570
Ashbel Smith,Anson Jones,,,571
Ashbel Smith,Edward Everett,,,572
Edward Everett,Ashbel Smith,,,573
Edward Everett,Ashbel Smith,,,574
Edward Everett,Ashbel Smith,,,575
Ashbel Smith,Samuel Amory,,,576
Samuel Amory,George K. Teulon,,,577
Ashbel Smith,Edward Everett,,,578
Edward Everett,Ashbel Smith,,,579
Ashbel Smith,Edward Everett,,,580
A^bel Smith,Lord Aberdeen,,,581
Ashbel Smith,Lord Aberdeen,,,582
Lord Aberdeen,Ashbel Smith,,,583
M. P. Russell,Ashbel Smith,,,584
Ashbel Smith,James Reily,,,585
Ashbel Smith,Geo. S. Mcintosh,,,586
Ashbel Smith,Lord Aberdeen,,,587
M. P. Russell,Ashbel Smith,,,588
Lord Aberdeen,Ashbel Smith,,,589
Ashbel Smith,Geo. S. Mcintosh,,,590
Ashbel Smith,Lord Aberdeen,,,591
lx)rd Aberdeen,Ashbel Smith,,,592
Ashbel Smith,M. P. Russell,,,593
Joseph Hume,Ashbel Smith,,,594
Lachlin M. Rate,Ashbel Smith,,,595
Memorandum concerning War Steamers,be used against Texas,,,596
Wm. Pringle,Ashbel Smith,,,597
M. P. Russell,Ashbel Smith,,,598
William Kennedy,Ashbel Smith,,,599
Arthur Ikin,Ashbel Smith,,,600
Ashbel Smith,Arthur Ikin,,,601
Fox Sons &amp; Co. to Ashbel Smith, July 2 1842,,,602
Ashbel Smith,Lord Aberdeen,,,603
Gabriel Shaw,Ashbel Smith,,,604
Ashbel Smith,Joseph Hume,,,605
Ashbel Smith,Lachlin M. Rate,,,606
Wm. Pringle,Ashbel Smith,,,607
Ashbel Smith,Wm. Pringle,,,608
Lachlin M. Rate,Ashbel Smith,,,609
Certificate of Exchange of Ratification of Convention as,Debt be- ,,,610
Ashbel Smith,Anson Jones,,,611
Ashbel Smith,Anson Jones,,,612
Ashbel Smith,Wm. Pringle,,,613
Wm. Pringle,Ashbel Smith,,,614
Wm. Pringle,Ashbel Smith,,,615
G. W. Terrell,Ashbel Smith,,,616
Charles Elliot,Secretary of State [Jones],,,617
G. W. Terrell,Charles Elliot,,,618
G. W. Terrell,Lord Aberdeen,,,619
Ashbel Smith,Lord Aberdeen,,,620
Charles Elliot,G. W. Terrell,,,621
Joseph Waples,Charles Elliot,,,622
Ashbel Smith,Anson Jones,,,623
Ashbel Smith,Lord Aberdeen,,,624
Ashbel Smith,H. U. Addington,,,625
Ashbel Smith,Texan Consuls,,,626
Ashbel Smith,Anson Jones,,,627
Ashbel Smith,Lord Aberdeen,,,628
Charles Elliot,Anson Jones,,,629
Ashbel Smith,Anson Jones,,,630
Ashbel Smith,Anson Jones,,,631
James Hamilton,Anson Jones,,,632
Ashbel Smith,Anson Jones,,,633
Ashbel Smith,Anson Jones,,,634
Lord Aberdeen,Ashbel Smith,,,635
Lord Aberdeen,Ashbel Smith,,,636
Lord Aberdeen,Ashbel Smith,,,637
Ashbel Smith,Lord Aberdeen,,,638
Charles Elliot,G. W. Terrell,,,639
James Hamilton,Anson Jones,,,640
James Hamilton,Anson Jones,,,641
James Hamilton,Lords of the Treasury,,,642
H. U. Addington,James Hamilton,,,643
James Hamilton,Senior Officer of British Navy,,,644
G. W. Terrell,Charles Elliot,,,645
G. W. Terrell,Ashbel Smith,,,646
Charles Elliot,G. W. Terrell,,,647
Anson Jones,Sam Houston,,,648
Anson Jones,Charles Elliot,,,649
Ashbel Smith,Anson Jones,,,650
Lord Aberdeen,Ashbel Smith,,,651
Ashbel Smith,Lord Aberdeen,,,652
Ashbel Smith,Lord Aberdeen,,,653
Ashbel Smith,Lachlin M. Rate,,,654
Charles Elliot,Anson Jones,,,655
Anson Jones,Ashbel Smith,,,656
Anson Jones,Ashbel Smith,,,657
Anson Jones,Ashbel Smith,,,658
Charles Elliot,Anson Jones,,,659
Sam Houston,Charles Elliot,,,660
Anson Jones,Ashbel Smith,,,661
Charles Elliot,Anson Jones,,,662
Percy W. Doyle,Charles Elliot,,,663
Anson Jones,Charles Elliot,,,664
Anson Jones,Ashbel Smith,,,665
Ashbel Smith,Wm. Henry Daingerfield,,,666
Ashbel Smith,Anson Jones,,,667
Charles Elliot,Anson Jones,,,668
Anson Jones,Charles Elliot,,,669
Ashbel Smith,Wm. Henry Daingerfield,,,670
Ashbel Smith,Anson Jones,,,671
Ashbel Smith,Isaac Van Zandt,,,672
Ashbel Smith,Isaac Van Zandt,,,673
Ashbel Smith,Anson Jones,,,674
Ashbel Smith,Wm. Henry Daingerfield,,,675
Ashbel Smith,Wm. Henry Daingerfield,,,676
Ashbel Smith,Wm. Henry Daingerfield,,,677
Ashbel Smith,Anson Jones,,,678
Charles Elliot,Anson Jones,,,679
Anson Jones,Charles Elliot,,,680
Ashbel Smith,Anson Jones,,,681
Charles Elliot,Anson Jones,,,682
Anson Jones,Ashbel Smith,,,683
Ashbel Smith,Anson Jones,,,684
Baron de Cetto,Ashbel Smith,,,685
Ashbel Smith,Baron de Cetto,,,686
Charles Elliot,Anson Jones,,,687
Anson Jones,Charles Elliot,,,688
Anson Jones,Charles Elliot,,,689
Charles Elliot,Anson Jones,,,690
Anson Jones,Charles Elliot,,,691
Anson Jones,Charles Elliot,,,692
Ashbel Smith,Anson Jones,,,693
Ashbel Smith,Lord Aberdeen,,,694
Charles Elliot,Anson Jones,,,695
Anson Jones,Ashbel Smith,,,696
Charles Elliot,Anson Jones,,,697
Charles Elliot,Anson Jones,,,698
Ashbel Smith,Anson Jones,,,699
Edwaid Everett,Ashbel Smith,,,700
Ashbel Smith,Edward Everett,,,701
Charles Elliot,Anson Jones,,,702
Anson Jones,Charles Elliot,,,703
Anson Jones,Charles Elliot,,,704
Charles Elliot,Anson Jones,,,705
Charles Elliot,Anson Jones,,,706
Ashbel Smith,Anson Jones,,,707
Ashbel Smith,Anson Jones,,,708
Anson Jones,Ashbel Smith,,,709
Ashbel Smith,Anson Jones,,,710
Holford &amp; Co. to Ashbel Smith, undated 1159 ,,,711
Holford &amp; Co. to Ashbel Smith, July 21 1842,,,712
Anson Jones,Ashbel Smith,,,713
Ashbel Smith,Anson Jones,,,714
Ashbel Smith,Anson Jones,,,715
William Kennedy,Anson Jones,,,716
Anson Jones,G. W. Terrell,,,717
Anson Jones,William Kennedy,,,718
William Kennedy,Anson Jones,,,719
John Hall,William Kennedy,,,720
Ebenezer Allen,William Kennedy,,,721
G. W. Terrell,Ashbel Smith,,,722
G. W. Terrell,Wm. Henry Daingerfield,,,723
G. W. Terrell,Ashbel Smith,,,724
G. W. Terrell,Ashbel Smith,,,725
Charles Elliot,Ashbel Smith,,,726
G. W. Terrell,Wm. Henry Daingertield,,,727
G. W. Terrell,Ashbel Smith,,,728
G. W. Terrell,Lord Clarendon,,,729
G. W.Terrell,Ashbel Smith,,,730
Ebenezer Allen,Ashbel Smith,,,731
Ashbel Smith,Ebenezer Allen,,,732
Ashbel Smith,Secretary of State [Allen],,,733
Ebenezer Allen,Ashbel Smith,,,734
Ebenezer Allen,Charles Elliot,,,735
Charles Elliot,Ebenezer Allen,,,736
Lord Aberdeen,Charles Elliot,,,737
Ebenezer Allen,Charles Elliot,,,738
J. Pinckney Henderson,R. A. Irion,,,739
J. Pinckney Henderson,Count Mol^,,,740
J. Pinckney Henderson,Count Mol^,,,741
Count Mol6,J. Pinckney Henderson,,,742
J. Pinckney Henderson,Count Mol6,,,743
R. A. Irion,J. Pinckney Henderson,,,744
R. A. Irion,J. Pinckney Henderson,,,745
J. Pinckney Henderson,R. A. Irion,,,746
J. Pinckney Henderson,Count Mol^,,,747
J. Pinckney Henderson,Count Mol6,,,748
Count Mol6,J. Pinckney Henderson,,,749
J. Pinckney Henderson,Count Mol^,,,750
J. Pinckney Henderson,Secretary of State [Irion],,,751
J. Pinckney Henderson,R. A. Irion,,,752
J. Pinckney Henderson,Mirabeau B. Lamar,,,753
J. Pickney Henderson,Secretary of State [Irion],,,754
Count Mol6,J. Pinckney Henderson,,,755
J. Pinckney Henderson,Count Mol6,,,756
J. Pinckney Henderson,Count Mol6,,,757
J. Pinckney Henderson,Secretary of State [Irion],,,758
J. Pinckney Henderson,Secretary of State [Bee],,,759
J. Pinckney Henderson,Mirabeau B. Lamar,,,760
J. Pinckney Henderson,Barnard E. Bee,,,761
J. Pinckney Henderson,Barnard E. Bee,,,762
Abb6 Anduz6,Mirabeau B. Lamar,,,763
James Webb,Abb6 Anduz6,,,764
James Webb,Admiral Baudin,,,765
J. Pinckney Henderson,James Webb,,,766
J. Pinckney Henderson,James Webb,,,767
J. Pinckney Henderson,James Webb,,,768
J. Pinckney Henderson,Secretary of State [Burnet],,,769
Hamilton and Burnley,Mirabeau B. Lamar,,,770
James Hamilton,David G. Burnet,,,771
J. Pinckney Henderson,Secretary of State,,,772
J. Pinckney Henderson,Secretary of State,,,773
J. Pinckney Henderson,Secretary of State [Burnet],,,774
Lewis Cass,J. Pinckney Henderson,,,775
David G. Burnet,James Hamilton,,,776
J. Pinckney Henderson,David G. Burnet,,,777
J. Pinckney Henderson,Secretary of State [Burnet],,,778
Abner S. Lipscomb,James Hamilton,,,779
A. de Saligny,Abner S. Lipscomb,,,780
James Hamilton,Mirabeau B. Lamar,,,781
A. T. Burnley,Mirabeau B. Lamar,,,782
James Hamilton,Abner S. Lipscomb,,,783
James Hamilton,M. Guizot,,,784
James Hamilton,Abner S. Lipscomb,,,785
James Hamilton,Henry Castro,,,786
A. de Saligny,Secretary of State [Mayfield],,,787
James S. Mayfield,A. de Saligny,,,788
A. de Saligny,James S. Mayfield,,,789
James S. Mayfield,A. de Saligny,,,790
Henry J. Jewett,James S. Mayfield,,,791
A. de Saligny,James S. Mayfield,,,792
James S. Mayfield,A. de Saligny,,,793
A. de Saligny,James S. Mayfield,,,794
James S. Mayfield,A. de Saligny,,,795
A. de Saligny,James S. Mayfield,,,796
James Hamilton,Abner S. Lipscomb,,,797
James S. Mayfield,A. de Saligny,,,798
A. de Saligny,James S. Mayfield ,,,799
A. de Saligny,James S. Mayfield,,,800
James S. Mayfield,A. de Saligny,,,801
A. de Saligny,James S. Mayfield,,,802
James S. Mayfield,Thos. Gales Forster,,,803
James S. Mayfield,Wm. Henry Daingerfield,,,804
James S. Mayfield,A. de Saligny,,,805
James S. Mayfield,Geo. S. Mcintosh,,,806
James S. Mayfield,Henry J. Jewett,,,807
James S. Mayfield,Geo. S. Mcintosh,,,808
Wm. Sevey,James S. Mayfield,,,809
James H. Starr,Wm. Sevey,,,810
Thos. Gales Forster,James S. Mayfield,,,811
Henry J. Jewett,James S. Mayfield,,,812
Information given by Henry J. Jewett,A. Hutchinson, ,,813
James S. Mayfield,Henry J. Jewett,,,814
A. Hutchinson,James S. Mayfield,,,815
James Hamilton,Mirabeau B. Laniar,,,816
Nathaniel Amory,James Hamilton,,,817
Nathaniel Amory,Geo. S. Mcintosh,,,818
Nathaniel Amory,James Hamilton,,,819
James Hamilton,James S. Mayfield,,,820
James Hamilton,M. Guizot,,,821
James Hamilton,James S. Mayfield,,,822
James Hamilton,M. Guizot,,,823
Geo. S. Mcintosh,Secretary of State [Roberts],,,824
Geo. S. Mcintosh,M. Guizot,,,825
Geo. S. Mcintosh,M. Guizot,,,826
M. Guizot,Geo. S. Mcintosh,,,827
Geo. S. Mcintosh,M. Guizot,,,828
Samuel A. Roberts,Geo. S. Mcintosh,,,829
Geo. S. Mcintosh,James S. Mayfield,,,830
A. de Saligny,Anson Jones,,,831
Anson Jones,George S. Mcintosh,,,832
Anson Jones,Ashbel Smith,,,833
Anson Jones,A. de Saligny,,,834
Ashbel Smith,Anson Jones,,,835
Ashbel Smith,Anson Jones,,,836
A. de Saligny,Anson Jones,,,837
Alleye de Cyprey,A. de Saligny,,,838
A. Gloux,Alleye de Cyprey,,,839
Declaration of Wyse as,goods shipped on Santa Maria,,,840
Wm. Henry Daingerfield,Secretary of State [Jones],,,841
A. de Saligny,Sam Houston,,,842
Memorandum relative,Saligny 's investments in Texan bonds 1368 ,,,843
A. de Saligny,Anson Jones,,,844
Sam Houston,A. de Saligny,,,845
Anson Jones,A. de Saligny,,,846
A. de Saligny,Anson Jones,,,847
Ashbel Smith,Geo. S. Mcintosh,,,848
Ashbel Smith,Theodore Barbey,,,849
Geo. S. Mcintosh,Ashbel Smith,,,850
Henry Castro,Ashbel Smith,,,851
Ashbel Smith,Geo. S. Mcintosh,,,852
Henry Castro,Ashbel Smith,,,853
Henry Castro,Ashbel Smith,,,854
Henry Castro,Ashbel Smith,,,855
Theodore Barbey,Ashbel Smith,,,856
Henry Castro,Ashbel Smith,,,857
Geo. S. Mcintosh,Ashbel Smith,,,858
Ashbel Smith,Theodore Barbey,,,859
Sam Houston,Ashbel Smith,,,860
Ashbel Smith,Anson Jones,,,861
Ashbel Smith,Anson Jones,,,862
Ashbel Smith,Anson Jones,,,863
Ashbel Smith,M. Guizot,,,864
Ashbel Smith,Anson Jones,,,865
Ashbel Smith,Anson Jones,,,866
Aflbbel Smith,Anaon Jones,,,867
Ashbel Smith,Anson Jones,,,868
Ashbel Smith,Anson Jones,,,869
Ashbel Smith,Anson Jones,,,870
M. Guizot,Ashbel Smith,,,871
Ashbel Smith,M. Guisot,,,872
M. Guizot,Ashbel Smith,,,873
Ashbel Smith,M. Guizot,,,874
Ashbel Smith,Anson Jones,,,875
G. W. Terrell,Ashbel Smith,,,876
Anson Jones,Ashbel.Smith,,,877
Anson Jones,Ashbel Smith,,,878
Anson Jones,Al. Bourgeois,,,879
Ashbel Smith,Anson Jones,,,880
Ashbel Smith,Anson Jones,,,881
Viscount J. de Cramayel,Anson Jones,,,882
Ashbel Smith,Anson Jones,,,883
Viscount J. de Cramayel,Anson Jones,,,884
Anson Jones,Viscount J. de Cramayel,,,885
Anson Jones,Viscount J. de Cramayel,,,886
Secretary of State [Jones] to Ashbel Smith, February 26 1843,,,887
Viscount J. de Cramayel,Anson Jones,,,888
Ashbel Smith,Anson Jones,,,889
Ashbel Smith,Anson Jones,,,890
Ashbel Smith,M. Guizot,,,891
M. Guizot,Ashbel Smith,,,892
Ashbel Smith,M. Guizot,,,893
Ashbel Smith,M. Guizot,,,894
M. Guizot,Ashbel Smith,,,895
Ashbel Smith,M. Guizot,,,896
Ashbel Smith,Anson Jones,,,897
Ashbel Smith,Anson Jones,,,898
M. Guizot,Ashbel Smithy undated i 1442 ,,,899
Ashbel Smith,M. Guizot,,,900
Henry Castro,Ashbel Smith,,,901
Ashbel Smith,Henry Castro,,,902
Sam Houston,Viscount J. de Cramayel,,,903
Anson Jones,Viscount J. de Cramayel,,,904
Viscount J. de Cramayel,Anson Jones,,,905
Wm. Henry Daingerfield,Ashbel Smith,,,906
Anson Jones,Viscoimt J. de Cramayel,,,907
Ashbel Smith,Anson Jones,,,908
M. Guizot,Ashbel Smith,,,909
M. Guizot,Ashbel Smith,,,910
Wm. Henry Daingerfield,Ashbel Smith,,,911
Anson Jones,Ashbel Smith,,,912
James Hamilton,Anson Jones,,,913
A. Somervell,M. C. Hamilton,,,914
Wm. Henry Daingerfield,Anson Jones,,,915
Viscount J. de Cramayel,Anson Jones,,,916
Wm. Henry Daingerfield,Secretary of State Jones,,,917
Ashbel Smith,Anson Jones,,,918
Ashbel Smith,M. Guizot,,,919
Asbbel Smith,Anson Jones,,,920
Viscount J. de Cramayel,Anson Jones,,,921
Sam Houston,Anson Jones,,,922
Ashbel Smith,Anson Jones,,,923
Al. Bourgeois,Ashbel Smith,,,924
Charles de Castell,Al. Bourgeois,,,925
Ashbel Smith,Al. Bourgeois,,,926
Anson Jones,Viscount J. de Cramayel,,,927
Ashbel Smith,Anson Jones,,,928
Wm. Henry Daingerfield,Ashbel Smith,,,929
Ashbel Smith,Anson Jones,,,930
Ashbel Smith,Anson Jones,,,931
Ashbel Smith,Anson Jones,,,932
�ۢAnson Jones,Ashbel Smith,,,933
Ashbel Smith,Anson Jones,,,934
Ashbel Smith,Anson Jones,,,935
Ashbel Smith,Anson Jones,,,936
Ashbel Smith,Anson Jones,,,937
Ashbel Smith,Anson Jones,,,938
M. Guizot,Anson Jones,,,939
A. de Saligny,Ashbel Smith,,,940
Ashbel Smith,A. de Saligny,,,941
G. W. Terrell,Ashbel Smith,,,942
Terrell's address,the King of France,,,943
Reply of the King of France,Terrell's address,,,944
G . W. TerreU,M. Guizot,,,945
Ashbel Smith,A. de Saligny,,,946
A. de Saligny,Ebenezer Allen,,,947
Ebenezer Allen,A. de Saligny,,,948
Ashbel Smith,Washington Irving,,,949
Ashbel Smith,Anson Jones,,,950
Ashbel Smith,General Sancho,,,951
Anson Jones,Ashbel Smith,,,952
Ashbel Smith,Martinez de La Rosa,,,953
Wm. Henry Daingerfield,Lachlin M. Rate,,,954
Wm. Hienry Daingerfield,Baron Roenne,,,955
Wm. Henry Daingerfield,G. W. Terrell,,,956
James Hamilton,Abner S. Lipscomb,,,957
James Hamilton,Abner S. Lipscomb,,,958
James Hamilton,Secretary of State [Roberts],,,959
Anson Jones,Victor Pirson,,,960
Wm. Henry Daingerfield,Anson Jones,,,961
Wm. Henry Daingerfield,Count d' Alviella,,,962
James Hamilton,Abner S. Lipscomb,,,963
Abner S. Lipscomb,James Hamilton,,,964
James Hamilton,Abner S. Lipscomb,,,965
Anson Jones,Wm. Henry Daingerfield,,,966
Anson Jones,James Hamilton,,,967
Anson Jones,Wm. Henry Daingerfield,,,968
Wm. Henry Daingerfield,Anson Jones,,,969
Henry Castro,Anson Jones,,,970
Anson Jones,Wm. Henry Daingerfield,,,971
Wm. Henry Daingerfield,Lachlin M. Rate,,,972
Wm. Henry Daingerfield,Anson Jones,,,973
Anson Jones,Wm. Henry Daingerfield,,,974
Wm. Henry Daingerfield,Anson Jones,,,975
Wm. Henry Daingerfield,V. Rumpff,,,976
Wm. Henry Daingerfield,Ashbel Smith,,,977
Wm. Henry Daingerfield,V. Rumpff,,,978
Wm. Henry Daingerfield,V. Rumpff,,,979
Wm. Henry Daingerfield,Anson Jones,,,980
Wm. Henry Daingerfield,Anson Jones,,,981
Wm. Henry Daingerfield,Anson Jones,,,982
Wm. Henry Daingerfield,Senator Gildmeister,,,983
R. Sieveking,Wm. Henry Daingerfield,,,984
Wm. Henry Daingerfield,G. W. Terrell,,,985
Ashbel Smith,Wm. Henry Daingerfield,,,986
Wm. Henry Daingerfield,Ebenezer Allen,,,987
Wm. Henry Daingerfield,Ashbel Smith,,,988
Wm. Henry Daingerfield,R. Sieveking,,,989
Wm. Henry Daingerfield,Ebenezer Allen,,,990